t , It
0.0287 , 0.0385227427276446
0.028800000000000003 , 0.0404288779204594
0.028900000000000002 , 0.0422260687541349
0.029 , 0.0439122194693354
0.0291 , 0.0454854889965495
0.0292 , 0.0469442910734698
0.029300000000000003 , 0.0482872938444768
0.029400000000000003 , 0.0495134189503853
0.029500000000000002 , 0.0506218401175282
0.0296 , 0.0516119812561352
0.0297 , 0.0524835140788228
0.0298 , 0.0532363552508241
0.029900000000000003 , 0.0538706630843752
0.030000000000000002 , 0.0543868337904217
0.030100000000000002 , 0.0547854973015168
0.0302 , 0.0550675126804562
0.0303 , 0.0552339631298295
0.0304 , 0.0552861506182563
0.030500000000000003 , 0.0552255901396333
0.030600000000000002 , 0.0550540036222279
0.0307 , 0.0547733135049242
0.0308 , 0.0543856359983577
0.0309 , 0.0538932740490601
0.031 , 0.0532987100250821
0.031100000000000003 , 0.0526045981418628
0.031200000000000002 , 0.0518137566473756
0.0313 , 0.0509291597857964
0.031400000000000004 , 0.0499539295591185
0.0315 , 0.0488913273062700
0.0316 , 0.0477447451193825
0.0317 , 0.0465176971169119
0.0318 , 0.0452138105933208
0.031900000000000005 , 0.0438368170650066
0.032 , 0.0423905432320838
0.032100000000000004 , 0.0408789018755277
0.0322 , 0.0393058827090386
0.0323 , 0.0376755432048000
0.0324 , 0.0359919994120917
0.0325 , 0.0342594167874552
0.032600000000000004 , 0.0324820010548314
0.0327 , 0.0306639891137566
0.0328 , 0.0288096400133586
0.0329 , 0.0269232260095052
0.033 , 0.0250090237220420
0.033100000000000004 , 0.0230713054086172
0.0332 , 0.0211143303711169
0.0333 , 0.0191423365102402
0.0334 , 0.0171595320432256
0.0335 , 0.0151700873991893
0.033600000000000005 , 0.0131781273059809
0.0337 , 0.0111877230818689
0.033800000000000004 , 0.00920288514476673
0.0339 , 0.00722755575109349
0.034 , 0.00526560197571769
0.0341 , 0.00332080894379246
0.0342 , 0.00139687332461608
0.034300000000000004 , -0.000502602903013128
0.0344 , -0.00237411840516987
0.0345 , -0.00421427815881520
0.0346 , -0.00601979882205826
0.0347 , -0.00778751380198579
0.034800000000000005 , -0.00951437801407727
0.0349 , -0.0111974723279420
0.035 , -0.0128340076948178
0.0351 , -0.0144213289529836
0.0352 , -0.0159569183079467
0.035300000000000005 , -0.0174383984849633
0.0354 , -0.0188635355521569
0.035500000000000004 , -0.0202302414131858
0.0356 , -0.0215365759690953
0.0357 , -0.0227807489496701
0.0358 , -0.0239611214152616
0.0359 , -0.0250762069307239
0.036000000000000004 , -0.0261246724137295
0.0361 , -0.0271053386603643
0.0362 , -0.0280171805515175
0.0363 , -0.0288593269441711
0.0364 , -0.0296310602522842
0.036500000000000005 , -0.0303318157225187
0.0366 , -0.0309611804106066
0.0367 , -0.0315188918646758
0.0368 , -0.0320048365223606
0.0369 , -0.0324190478290027
0.037000000000000005 , -0.0327617040847112
0.0371 , -0.0330331260284906
0.037200000000000004 , -0.0332337741680593
0.0373 , -0.0333642458643766
0.0374 , -0.0334252721802625
0.0375 , -0.0334177145028433
0.0376 , -0.0333425609498720
0.037700000000000004 , -0.0332009225702700
0.0378 , -0.0329940293495080
0.0379 , -0.0327232260306850
0.038 , -0.0323899677623872
0.0381 , -0.0319958155846015
0.038200000000000005 , -0.0315424317641244
0.0383 , -0.0310315749910533
0.038400000000000004 , -0.0304650954480606
0.0385 , -0.0298449297642463
0.0386 , -0.0291730958654274
0.038700000000000005 , -0.0284516877327686
0.0388 , -0.0276828700816713
0.038900000000000004 , -0.0268688729728335
0.039 , -0.0260119863673597
0.0391 , -0.0251145546377461
0.0392 , -0.0241789710464879
0.0393 , -0.0232076722039523
0.039400000000000004 , -0.0222031325170418
0.0395 , -0.0211678586400239
0.0396 , -0.0201043839387384
0.0397 , -0.0190152629792099
0.0398 , -0.0179030660514825
0.039900000000000005 , -0.0167703737392739
0.04 , -0.0156197715457997
